	gid	accident_cnt	geometry	schoolzone_num	safetysign_num	bump_num	child_num	school_num	facility_num	signal_num	busstop_num	crosswalk_num	sidewalk_num	ill_park	car_num	node	park_YN	foot_traf_mean	traffic	bigcar_ratio	rushhour_freq	road_width
3	다사564096	1	MULTIPOLYGON (((127.0087950432604 37.184159165098, 127.0087892056989 37.18506054672712, 127.0099157983304 37.1850652120818, 127.0099216225047 37.18416383030122, 127.0087950432604 37.184159165098)))	0	1	0	0.0	0	0	0	0	0	0	0	0	1	0	42.714375	4779.71	0.2321002260977841	4.63	0.5
11	다사569091	0	MULTIPOLYGON (((127.0144567913441 37.17967547001363, 127.0144510220025 37.18057685308779, 127.0155775489939 37.18058146413613, 127.0155833049514 37.17968008091222, 127.0144567913441 37.17967547001363)))	0	0	0	0.0	0	0	0	0	0	0	0	0	1	0	17.366064814814813	2982.066666666666	0.33879195825798075	35.005	0.5
12	다사569092	0	MULTIPOLYGON (((127.0144510220025 37.18057685308779, 127.014445252404 37.18147823602374, 127.0155717927803 37.18148284722178, 127.0155775489939 37.18058146413613, 127.0144510220025 37.18057685308779)))	0	1	0	0.0	0	0	0	0	0	0	0	1	0	1	27.409930555555558	4835.99	0.2320956357723235	5.285	0.5
13	다사569093	0	MULTIPOLYGON (((127.014445252404 37.18147823602374, 127.0144394825488 37.18237961882146, 127.0155660363105 37.18238423016922, 127.0155717927803 37.18148284722178, 127.014445252404 37.18147823602374)))	0	0	0	0.0	0	0	0	0	0	0	0	0	0	1	7.11	4835.99	0.2320956357723235	5.285	0.5
14	다사570088	0	MULTIPOLYGON (((127.0156005712868 37.1769759304112, 127.0155948160978 37.17787731404977, 127.0167213031945 37.17788191394015, 127.016727045001 37.17698053015223, 127.0156005712868 37.1769759304112)))	0	0	0	0.0	0	0	0	0	0	0	0	3	0	0	11.820111111111116	1607.68	0.3725301771037387	99.78	0.25
15	다사570090	0	MULTIPOLYGON (((127.0155890606526 37.17877869755011, 127.0155833049514 37.17968008091222, 127.0167098188148 37.17968468110134, 127.0167155611324 37.17878329758985, 127.0155890606526 37.17877869755011)))	0	1	0	0.0	0	0	0	0	0	0	0	0	0	0	11.258636363636363	3566.1549999999993	0.2499632447109072	8.64	0.5
17	다사570092	0	MULTIPOLYGON (((127.0155775489939 37.18058146413613, 127.0155717927803 37.18148284722178, 127.0166983334128 37.18148744770965, 127.0167040762416 37.1805860644746, 127.0155775489939 37.18058146413613)))	0	0	0	0.0	0	0	0	0	0	0	0	0	1	1	23.55770833333333	449.27624999999983	0.5137949745025112	94.5875	0.3125
19	다사571088	0	MULTIPOLYGON (((127.016727045001 37.17698053015223, 127.0167213031945 37.17788191394015, 127.0178477905467 37.17788650312173, 127.0178535189708 37.1769851191848, 127.016727045001 37.17698053015223)))	1	0	0	0.0	0	0	0	0	0	0	0	14	1	0	10.848200757575755	1542.7075	0.36258977848337903	81.2625	0.375
21	다사571090	0	MULTIPOLYGON (((127.0167155611324 37.17878329758985, 127.0167098188148 37.17968468110134, 127.0178363329338 37.17968927058097, 127.0178420618677 37.17878788692045, 127.0167155611324 37.17878329758985)))	0	0	0	0.0	0	0	0	0	0	0	0	0	1	0	12.5734375	2831.2049999999995	0.29100453592125525	25.45166666666667	0.5
28	다사574088	0	MULTIPOLYGON (((127.0201064676746 37.17699426512458, 127.0201007660155 37.1778956493585, 127.0212272541308 37.17790020641366, 127.0212329424074 37.17699882203177, 127.0201064676746 37.17699426512458)))	0	0	0	0.0	0	0	0	0	0	0	0	11	0	0	50.33152777777778	3449.7249999999995	0.2704009831898391	4.97	0.5
29	다사574108	0	MULTIPOLYGON (((127.0199923862655 37.19502192354242, 127.019986679529 37.19592330501197, 127.0211134354195 37.1959278650273, 127.0211191287615 37.19502648340971, 127.0199923862655 37.19502192354242)))	0	0	0	0.0	0	0	0	0	0	0	0	72	0	0	111.54447916666668	2837.2650000000012	0.1641877372278137	71.78	0.25
30	다사575087	0	MULTIPOLYGON (((127.0212386304308 37.17609743751166, 127.0212329424074 37.17699882203177, 127.0223594173933 37.17700336823049, 127.0223650920349 37.17610198356277, 127.0212386304308 37.17609743751166)))	0	2	0	0.0	0	0	0	0	0	0	0	8	1	0	27.180729166666666	3581.13	0.2697800192419054	11.44	0.5
31	다사575108	0	MULTIPOLYGON (((127.0211191287615 37.19502648340971, 127.0211134354195 37.1959278650273, 127.0222401915633 37.19593241432686, 127.0222458715109 37.19503103256157, 127.0211191287615 37.19502648340971)))	0	0	1	6.0	0	0	0	0	0	0	0	42	0	0	10.833125	2837.2650000000012	0.1641877372278137	71.78	0.25
32	다사575109	0	MULTIPOLYGON (((127.0211134354195 37.1959278650273, 127.021107741824 37.19682924650668, 127.0222345113629 37.19683379595394, 127.0222401915633 37.19593241432686, 127.0211134354195 37.1959278650273)))	0	0	0	0.0	0	0	0	0	0	0	0	6	0	0	3.5595937500000003	2837.2650000000012	0.1641877372278137	71.78	0.25
33	다사576085	0	MULTIPOLYGON (((127.0223764405603 37.17429921381272, 127.0223707664238 37.17520059875684, 127.0234972148991 37.17520513395252, 127.0235028756548 37.17430374886116, 127.0223764405603 37.17429921381272)))	0	0	0	0.0	0	0	0	0	0	4	0	0	0	0	218.32620535714287	5192.2825	0.20937150897964046	12.4425	0.75
34	다사576087	0	MULTIPOLYGON (((127.0223650920349 37.17610198356277, 127.0223594173933 37.17700336823049, 127.0234858926319 37.17700790372072, 127.0234915538914 37.17610651890572, 127.0223650920349 37.17610198356277)))	0	0	0	0.0	0	0	0	0	0	0	0	1	0	0	14.491590909090908	3712.535	0.2691590552939718	17.91	0.5
35	다사576107	0	MULTIPOLYGON (((127.0222515512058 37.19412965065806, 127.0222458715109 37.19503103256157, 127.0233726145131 37.19503557099799, 127.0233782808141 37.19413418894713, 127.0222515512058 37.19412965065806)))	0	0	0	0.0	0	0	0	0	0	7	4	44	1	0	305.4828125	2349.925	0.17542036002614084	78.845	0.5
36	다사576108	0	MULTIPOLYGON (((127.0222458715109 37.19503103256157, 127.0222401915633 37.19593241432686, 127.02336694796 37.19593695291063, 127.0233726145131 37.19503557099799, 127.0222458715109 37.19503103256157)))	0	0	0	0.0	0	0	0	2	0	2	41	45	0	0	185.60083333333336	2349.925	0.17542036002614084	78.845	0.5
37	다사576109	0	MULTIPOLYGON (((127.0222401915633 37.19593241432686, 127.0222345113629 37.19683379595394, 127.0233612811546 37.19683833468504, 127.02336694796 37.19593695291063, 127.0222401915633 37.19593241432686)))	0	1	0	0.0	0	0	0	0	0	2	162	8	1	0	120.75010416666666	2874.4937500000005	0.19339881569820952	62.35375	0.4375
38	다사576110	0	MULTIPOLYGON (((127.0222345113629 37.19683379595394, 127.0222288309097 37.19773517744278, 127.023355614097 37.19773971632124, 127.0233612811546 37.19683833468504, 127.0222345113629 37.19683379595394)))	0	0	0	0.0	0	0	0	0	0	1	0	4	0	0	66.23046875	4319.713333333333	0.2038709574747312	40.91833333333333	0.4166666666666667
