gid	accident_cnt	geometry	traffic	bigcar_ratio	rushhour_itn	rushhour_freq	road_with	schoolzone_num	safetysign_num	bump_num	cctv_num	child_num	school_num	facility_num	signal_num	busstop_num	crosswalk_num	sidewalk_num	ill_park	foot_traf	car_num	node	park_yn	foot_traf_mean
다사563097	0	MULTIPOLYGON (((127.0076626133273 37.1850558706609, 127.0076567621183 37.18595725199992, 127.0087833678776 37.18596192821798, 127.0087892056989 37.18506054672712, 127.0076626133273 37.1850558706609)))	4723.43	0.2321048164232447	11.64	3.975	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	4	0	0	0	33.136750000000006
다사563098	0	MULTIPOLYGON (((127.0076567621183 37.18595725199992, 127.0076509106488 37.18685863320071, 127.0087775297965 37.18686330957058, 127.0087833678776 37.18596192821798, 127.0076567621183 37.18595725199992)))	4723.43	0.2321048164232447	11.64	3.975	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0
다사564095	0	MULTIPOLYGON (((127.0088008805621 37.18325778333063, 127.0087950432604 37.184159165098, 127.0099216225047 37.18416383030122, 127.0099274464199 37.18326244838238, 127.0088008805621 37.18325778333063)))	4835.99	0.2320956357723235	18.415	5.285	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	4	0	0	0	12.1321875
다사564096	1	MULTIPOLYGON (((127.0087950432604 37.184159165098, 127.0087892056989 37.18506054672712, 127.0099157983304 37.1850652120818, 127.0099216225047 37.18416383030122, 127.0087950432604 37.184159165098)))	4779.71	0.2321002260977841	15.0275	4.63	0.5	0	1	0	1	0.0	0.0	0.0	0	0	0	0	0	4	0	1	0	42.714375
다사564097	0	MULTIPOLYGON (((127.0087892056989 37.18506054672712, 127.0087833678776 37.18596192821798, 127.0099099738968 37.18596659372415, 127.0099157983304 37.1850652120818, 127.0087892056989 37.18506054672712)))	4723.43	0.2321048164232447	11.64	3.975	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	4	0	0	0	25.259604166666666
다사565094	0	MULTIPOLYGON (((127.0099332700758 37.1823610663253, 127.0099274464199 37.18326244838238, 127.0110540125368 37.18326710272329, 127.0110598228068 37.18236572051508, 127.0099332700758 37.1823610663253)))	4835.99	0.2320956357723235	18.415	5.285	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	0	5.467500000000001
다사565095	0	MULTIPOLYGON (((127.0099274464199 37.18326244838238, 127.0099216225047 37.18416383030122, 127.0110482020082 37.18416848479325, 127.0110540125368 37.18326710272329, 127.0099274464199 37.18326244838238)))	4835.99	0.2320956357723235	18.415	5.285	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	0	14.94625
다사566093	0	MULTIPOLYGON (((127.0110656328182 37.18146433816863, 127.0110598228068 37.18236572051508, 127.0121863757964 37.18237036399437, 127.0121921724224 37.18146898149716, 127.0110656328182 37.18146433816863)))	4835.99	0.2320956357723235	18.415	5.285	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	0	1.4755
다사566094	0	MULTIPOLYGON (((127.0110598228068 37.18236572051508, 127.0110540125368 37.18326710272329, 127.0121805789123 37.18327174635336, 127.0121863757964 37.18237036399437, 127.0110598228068 37.18236572051508)))	4835.99	0.2320956357723235	18.415	5.285	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	0	1.215833333333333
다사567093	0	MULTIPOLYGON (((127.0121921724224 37.18146898149716, 127.0121863757964 37.18237036399437, 127.0133129290439 37.18237499676317, 127.0133187122845 37.18147361411553, 127.0121921724224 37.18146898149716)))	4835.99	0.2320956357723235	18.415	5.285	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	2	0	0	0	2.520892857142857
다사568093	0	MULTIPOLYGON (((127.0133187122845 37.18147361411553, 127.0133129290439 37.18237499676317, 127.0144394825488 37.18237961882146, 127.014445252404 37.18147823602374, 127.0133187122845 37.18147361411553)))	4835.99	0.2320956357723235	18.415	5.285	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	3	0	0	0	17.6796148989899
다사569091	0	MULTIPOLYGON (((127.0144567913441 37.17967547001363, 127.0144510220025 37.18057685308779, 127.0155775489939 37.18058146413613, 127.0155833049514 37.17968008091222, 127.0144567913441 37.17967547001363)))	2982.066666666666	0.33879195825798075	43.27	35.005	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	3	0	1	0	17.366064814814813
다사569092	0	MULTIPOLYGON (((127.0144510220025 37.18057685308779, 127.014445252404 37.18147823602374, 127.0155717927803 37.18148284722178, 127.0155775489939 37.18058146413613, 127.0144510220025 37.18057685308779)))	4835.99	0.2320956357723235	18.415	5.285	0.5	0	1	0	0	0.0	0.0	0.0	0	0	0	0	0	3	1	0	1	27.409930555555558
다사569093	0	MULTIPOLYGON (((127.014445252404 37.18147823602374, 127.0144394825488 37.18237961882146, 127.0155660363105 37.18238423016922, 127.0155717927803 37.18148284722178, 127.014445252404 37.18147823602374)))	4835.99	0.2320956357723235	18.415	5.285	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	2	0	0	1	7.11
다사570088	0	MULTIPOLYGON (((127.0156005712868 37.1769759304112, 127.0155948160978 37.17787731404977, 127.0167213031945 37.17788191394015, 127.016727045001 37.17698053015223, 127.0156005712868 37.1769759304112)))	1607.68	0.3725301771037387	99.93	99.78	0.25	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	3	3	0	0	11.820111111111114
다사570090	0	MULTIPOLYGON (((127.0155890606526 37.17877869755011, 127.0155833049514 37.17968008091222, 127.0167098188148 37.17968468110134, 127.0167155611324 37.17878329758985, 127.0155890606526 37.17877869755011)))	3566.1549999999993	0.2499632447109072	15.675	8.64	0.5	0	1	0	0	0.0	0.0	0.0	0	0	0	0	0	4	0	0	0	11.258636363636363
다사570091	0	MULTIPOLYGON (((127.0155833049514 37.17968008091222, 127.0155775489939 37.18058146413613, 127.0167040762416 37.1805860644746, 127.0167098188148 37.17968468110134, 127.0155833049514 37.17968008091222)))	2055.105	0.39214011950080935	55.6975	49.865	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	0	15.5375
다사570092	0	MULTIPOLYGON (((127.0155775489939 37.18058146413613, 127.0155717927803 37.18148284722178, 127.0166983334128 37.18148744770965, 127.0167040762416 37.1805860644746, 127.0155775489939 37.18058146413613)))	449.27624999999983	0.5137949745025112	97.645	94.5875	0.3125	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	4	0	1	1	23.55770833333333
다사571088	0	MULTIPOLYGON (((127.016727045001 37.17698053015223, 127.0167213031945 37.17788191394015, 127.0178477905467 37.17788650312173, 127.0178535189708 37.1769851191848, 127.016727045001 37.17698053015223)))	1542.7075	0.36258977848337903	85.24000000000002	81.2625	0.375	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	3	14	1	0	10.848200757575755
다사571089	0	MULTIPOLYGON (((127.0167213031945 37.17788191394015, 127.0167155611324 37.17878329758985, 127.0178420618677 37.17878788692045, 127.0178477905467 37.17788650312173, 127.0167213031945 37.17788191394015)))	1477.735	0.35264937986301936	70.55	62.74500000000001	0.5	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	0	8.906875000000003
다사571090	0	MULTIPOLYGON (((127.0167155611324 37.17878329758985, 127.0167098188148 37.17968468110134, 127.0178363329338 37.17968927058097, 127.0178420618677 37.17878788692045, 127.0167155611324 37.17878329758985)))	2831.2049999999995	0.29100453592125525	32.666666666666664	25.45166666666667	0.5	0	0	0	1	0.0	0.0	0.0	0	0	0	0	0	2	0	1	0	12.5734375
