gid	accident_cnt	geometry	num_children	num_school	num_facility
다사551085	0	MULTIPOLYGON (((126.9942156468143 37.17418235770403, 126.9942096381632 37.17508373885349, 126.9953360801466 37.17508854174157, 126.9953420754172 37.17418716043615, 126.9942156468143 37.17418235770403)))	0.0	0.0	0.0
다사551086	0	MULTIPOLYGON (((126.9942096381632 37.17508373885349, 126.9942036292448 37.17598511986466, 126.9953300846092 37.17598992290871, 126.9953360801466 37.17508854174157, 126.9942096381632 37.17508373885349)))	0.0	0.0	0.0
다사551087	0	MULTIPOLYGON (((126.9942036292448 37.17598511986466, 126.9941976200589 37.17688650073755, 126.9953240888049 37.17689130393757, 126.9953300846092 37.17598992290871, 126.9942036292448 37.17598511986466)))	0.0	0.0	0.0
다사551088	0	MULTIPOLYGON (((126.9941976200589 37.17688650073755, 126.9941916106056 37.17778788147216, 126.9953180927338 37.17779268482813, 126.9953240888049 37.17689130393757, 126.9941976200589 37.17688650073755)))	0.0	0.0	0.0
다사552085	0	MULTIPOLYGON (((126.9953420754172 37.17418716043615, 126.9953360801466 37.17508854174157, 126.9964625223967 37.17509333392205, 126.9964685042869 37.17419195246102, 126.9953420754172 37.17418716043615)))	0.0	0.0	0.0
다사552086	0	MULTIPOLYGON (((126.9953360801466 37.17508854174157, 126.9953300846092 37.17598992290871, 126.9964565402404 37.1759947152448, 126.9964625223967 37.17509333392205, 126.9953360801466 37.17508854174157)))	0.0	0.0	0.0
다사552087	0	MULTIPOLYGON (((126.9953300846092 37.17598992290871, 126.9953240888049 37.17689130393757, 126.9964505578178 37.17689609642928, 126.9964565402404 37.1759947152448, 126.9953300846092 37.17598992290871)))	0.0	0.0	0.0
다사552088	0	MULTIPOLYGON (((126.9953240888049 37.17689130393757, 126.9953180927338 37.17779268482813, 126.9964445751289 37.17779747747547, 126.9964505578178 37.17689609642928, 126.9953240888049 37.17689130393757)))	0.0	0.0	0.0
다사552089	0	MULTIPOLYGON (((126.9953180927338 37.17779268482813, 126.9953120963958 37.17869406558043, 126.9964385921738 37.17869885838338, 126.9964445751289 37.17779747747547, 126.9953180927338 37.17779268482813)))	0.0	0.0	0.0
다사553084	0	MULTIPOLYGON (((126.9964744859108 37.17329057086172, 126.9964685042869 37.17419195246102, 126.9975949334228 37.17419673377862, 126.9976009016669 37.17329535202407, 126.9964744859108 37.17329057086172)))	0.0	0.0	0.0
다사553085	0	MULTIPOLYGON (((126.9964685042869 37.17419195246102, 126.9964625223967 37.17509333392205, 126.9975889649131 37.17509811539491, 126.9975949334228 37.17419673377862, 126.9964685042869 37.17419195246102)))	0.0	0.0	0.0
다사553086	0	MULTIPOLYGON (((126.9964625223967 37.17509333392205, 126.9964565402404 37.1759947152448, 126.9975829961378 37.17599949687294, 126.9975889649131 37.17509811539491, 126.9964625223967 37.17509333392205)))	0.0	0.0	0.0
다사553087	0	MULTIPOLYGON (((126.9964565402404 37.1759947152448, 126.9964505578178 37.17689609642928, 126.9975770270969 37.17690087821268, 126.9975829961378 37.17599949687294, 126.9964565402404 37.1759947152448)))	0.0	0.0	0.0
다사553088	0	MULTIPOLYGON (((126.9964505578178 37.17689609642928, 126.9964445751289 37.17779747747547, 126.9975710577903 37.17780225941415, 126.9975770270969 37.17690087821268, 126.9964505578178 37.17689609642928)))	0.0	0.0	0.0
다사553089	0	MULTIPOLYGON (((126.9964445751289 37.17779747747547, 126.9964385921738 37.17869885838338, 126.997565088218 37.17870364047734, 126.9975710577903 37.17780225941415, 126.9964445751289 37.17779747747547)))	0.0	0.0	0.0
다사553090	0	MULTIPOLYGON (((126.9964385921738 37.17869885838338, 126.9964326089524 37.179600239153, 126.99755911838 37.17960502140225, 126.997565088218 37.17870364047734, 126.9964385921738 37.17869885838338)))	0.0	0.0	0.0
다사553091	0	MULTIPOLYGON (((126.9964326089524 37.179600239153, 126.9964266254647 37.18050161978434, 126.9975531482764 37.18050640218888, 126.99755911838 37.17960502140225, 126.9964326089524 37.179600239153)))	0.0	0.0	0.0
다사554084	0	MULTIPOLYGON (((126.9976009016669 37.17329535202407, 126.9975949334228 37.17419673377862, 126.9987213628244 37.17420150438896, 126.9987273176885 37.1733001224795, 126.9976009016669 37.17329535202407)))	0.0	0.0	0.0
다사554085	0	MULTIPOLYGON (((126.9975949334228 37.17419673377862, 126.9975889649131 37.17509811539491, 126.9987154076952 37.17510288616017, 126.9987213628244 37.17420150438896, 126.9975949334228 37.17419673377862)))	0.0	0.0	0.0
다사554086	0	MULTIPOLYGON (((126.9975889649131 37.17509811539491, 126.9975829961378 37.17599949687294, 126.9987094523009 37.17600426779312, 126.9987154076952 37.17510288616017, 126.9975889649131 37.17509811539491)))	0.0	0.0	0.0
다사554087	0	MULTIPOLYGON (((126.9975829961378 37.17599949687294, 126.9975770270969 37.17690087821268, 126.9987034966416 37.17690564928778, 126.9987094523009 37.17600426779312, 126.9975829961378 37.17599949687294)))	0.0	0.0	0.0
다사554088	0	MULTIPOLYGON (((126.9975770270969 37.17690087821268, 126.9975710577903 37.17780225941415, 126.9986975407173 37.17780703064417, 126.9987034966416 37.17690564928778, 126.9975770270969 37.17690087821268)))	0.0	0.0	0.0
다사554089	0	MULTIPOLYGON (((126.9975710577903 37.17780225941415, 126.997565088218 37.17870364047734, 126.9986915845278 37.17870841186228, 126.9986975407173 37.17780703064417, 126.9975710577903 37.17780225941415)))	0.0	0.0	0.0
다사554090	0	MULTIPOLYGON (((126.997565088218 37.17870364047734, 126.99755911838 37.17960502140225, 126.9986856280733 37.17960979294212, 126.9986915845278 37.17870841186228, 126.997565088218 37.17870364047734)))	0.0	0.0	0.0
