	gid	accident_cnt	geometry	ill_park	foot_traf	car_cnt	node	park_yn	foot_traf_mean
0	다사551085	0	MULTIPOLYGON (((126.9942156468143 37.17418235770403, 126.9942096381632 37.17508373885349, 126.9953360801466 37.17508854174157, 126.9953420754172 37.17418716043615, 126.9942156468143 37.17418235770403)))	0	0	0	0	0	0.0
1	다사551086	0	MULTIPOLYGON (((126.9942096381632 37.17508373885349, 126.9942036292448 37.17598511986466, 126.9953300846092 37.17598992290871, 126.9953360801466 37.17508854174157, 126.9942096381632 37.17508373885349)))	0	2	0	0	0	2.534375
2	다사551087	0	MULTIPOLYGON (((126.9942036292448 37.17598511986466, 126.9941976200589 37.17688650073755, 126.9953240888049 37.17689130393757, 126.9953300846092 37.17598992290871, 126.9942036292448 37.17598511986466)))	0	2	0	0	0	9.838244047619048
3	다사551088	0	MULTIPOLYGON (((126.9941976200589 37.17688650073755, 126.9941916106056 37.17778788147216, 126.9953180927338 37.17779268482813, 126.9953240888049 37.17689130393757, 126.9941976200589 37.17688650073755)))	0	1	0	0	0	9.704375000000002
4	다사552085	0	MULTIPOLYGON (((126.9953420754172 37.17418716043615, 126.9953360801466 37.17508854174157, 126.9964625223967 37.17509333392205, 126.9964685042869 37.17419195246102, 126.9953420754172 37.17418716043615)))	0	1	0	0	0	0.4283333333333333
5	다사552086	0	MULTIPOLYGON (((126.9953360801466 37.17508854174157, 126.9953300846092 37.17598992290871, 126.9964565402404 37.1759947152448, 126.9964625223967 37.17509333392205, 126.9953360801466 37.17508854174157)))	0	3	0	0	0	4.7529861111111105
6	다사552087	0	MULTIPOLYGON (((126.9953300846092 37.17598992290871, 126.9953240888049 37.17689130393757, 126.9964505578178 37.17689609642928, 126.9964565402404 37.1759947152448, 126.9953300846092 37.17598992290871)))	0	4	0	0	0	5.017604166666667
7	다사552088	0	MULTIPOLYGON (((126.9953240888049 37.17689130393757, 126.9953180927338 37.17779268482813, 126.9964445751289 37.17779747747547, 126.9964505578178 37.17689609642928, 126.9953240888049 37.17689130393757)))	0	3	0	0	0	15.963472222222224
8	다사552089	0	MULTIPOLYGON (((126.9953180927338 37.17779268482813, 126.9953120963958 37.17869406558043, 126.9964385921738 37.17869885838338, 126.9964445751289 37.17779747747547, 126.9953180927338 37.17779268482813)))	0	1	0	0	0	28.40708333333334
9	다사553084	0	MULTIPOLYGON (((126.9964744859108 37.17329057086172, 126.9964685042869 37.17419195246102, 126.9975949334228 37.17419673377862, 126.9976009016669 37.17329535202407, 126.9964744859108 37.17329057086172)))	0	0	0	0	0	0.0
